time,event
2796.984010734,lick
2797.116970399,lick
2797.316809896,lick
2803.918233277,lick
2804.051112942,lick
2804.251072439,lick
2807.918623205,lick
2808.085062786,lick
2809.585259009,lick
2809.819138421,lick
2815.919443063,lick
2816.086522642,lick
2816.453241719,lick
2820.786830809,lick
2820.953470389,lick
2821.153869885,lick
2825.920897883,lick
2826.121337379,lick
2831.322044285,lick
2831.488323867,lick
2837.422948926,lick
2840.35670154,lick
2840.556301037,lick
2841.356459023,lick
2842.023337344,lick
2843.056694742,lick
2844.890290126,lick
2848.824200222,lick
2849.790997788,lick
2853.992027212,lick
2854.225186625,lick
2856.425661085,lick
2858.059216972,lick
2858.25889647,lick
2863.793442536,lick
2863.960002117,lick
2868.160351542,lick
2868.327311121,lick
2870.194306421,lick
2870.427305835,lick
2871.661182728,lick
2873.92845702,lick
2879.02864418,lick
2879.161963844,lick
2889.696737322,lick
2889.830176986,lick
2890.030376482,lick
2890.830654467,lick
2894.931324144,lick
2895.264403305,lick
2895.531162634,lick
2895.664162299,lick
2895.765322044,lick
2895.897601711,lick
2896.031121375,lick
2896.197600956,lick
2896.331360619,lick
2896.464960283,lick
2896.764879528,lick
2896.931119109,lick
2903.132423497,lick
2903.332382993,lick
2910.433085117,lick
2910.600044696,lick
2911.933441339,lick
2916.0004711,lick
2916.133830765,lick
2916.367590176,lick
2916.50098984,lick
2916.60058959,lick
2916.767829168,lick
2916.867588917,lick
2917.000628582,lick
2917.167748162,lick
2918.63422447,lick
2925.368927515,lick
2925.536047094,lick
2929.502477108,lick
2929.702796604,lick
2929.9028361,lick
2930.936273498,lick
2931.43599224,lick
2933.237107706,lick
2943.30464236,lick
2951.93974062,lick
2952.105900202,lick
2955.274292225,lick
2955.439571809,lick
2955.639451306,lick
2956.406249375,lick
2957.974005429,lick
2958.140045011,lick
2961.873715611,lick
2962.04087519,lick
2962.673833596,lick
2967.107902433,lick
2967.274462014,lick
2973.40876657,lick
2973.808765563,lick
2973.942885226,lick
2974.075924891,lick
2974.208884556,lick
2974.34220422,lick
2974.508883801,lick
2974.642603464,lick
2976.476238848,lick
2977.042637422,lick
2977.90935524,lick
2978.176074568,lick
2988.4113288,lick
2988.577648381,lick
2988.810967794,lick
2989.078087121,lick
2991.745160407,lick
2998.779142698,lick
2998.945702279,lick
3002.046214473,lick
3002.246453969,lick
3005.2133665,lick
3005.413805995,lick
3007.380241044,lick
3008.313918694,lick
3008.947517099,lick
3016.081899137,lick
3016.281698634,lick
3017.515055529,lick
3031.418740525,lick
3031.58378011,lick
3036.117728695,lick
3036.285208274,lick
3036.484447772,lick
3041.051716274,lick
3041.25175577,lick
3048.720256967,lick
3049.253375625,lick
3049.419615207,lick
3049.553014871,lick
3049.686374535,lick
3049.819894199,lick
3049.953053864,lick
3050.086333528,lick
3050.253173108,lick
3050.386492772,lick
3050.586852268,lick
3050.853251597,lick
3052.953846309,lick
3053.186845722,lick
3056.253998001,lick
3056.454037497,lick
3066.655771813,lick
3066.788811478,lick
3066.955811058,lick
3069.389604931,lick
3074.156912928,lick
3074.32323251,lick
3074.789951335,lick
3082.591091695,lick
3082.791051191,lick
3082.991130688,lick
3083.225050099,lick
3083.858328504,lick
3090.058792894,lick
3090.225512474,lick
3090.525551719,lick
3090.659151383,lick
3090.792631047,lick
3090.928070706,lick
3091.02563046,lick
3091.192270041,lick
3091.459029369,lick
3092.359547102,lick
3098.494011658,lick
3098.626731324,lick
3098.760490987,lick
3107.894747991,lick
3108.3281469,lick
3108.428546647,lick
3108.594866228,lick
3108.695265975,lick
3108.861905556,lick
3108.994865221,lick
3109.129024883,lick
3109.394904214,lick
3109.661663542,lick
3110.261702032,lick
3120.296476768,lick
3127.030859814,lick
3127.197499394,lick
3132.631605714,lick
3132.798565293,lick
3136.232196649,lick
3136.399276228,lick
3138.232431613,lick
3151.568198039,lick
3151.9014372,lick
3152.034396865,lick
3152.134436614,lick
3152.267796278,lick
3152.401635941,lick
3152.535155605,lick
3152.667795271,lick
3152.801594934,lick
3153.201593927,lick
3154.634750319,lick
3156.968424444,lick
3157.135224024,lick
3161.202413784,lick
3161.336733446,lick
3161.469013113,lick
3162.33621093,lick
3163.102649,lick
3163.369328329,lick
3164.20280623,lick
3164.502845475,lick
3174.904339288,lick
3175.270978365,lick
3183.139278556,lick
3183.272598221,lick
3183.472237718,lick
3183.672637214,lick
3183.839076795,lick
3188.073266135,lick
3189.606422275,lick
3190.74017942,lick
3203.175028115,lick
3203.341707695,lick
3208.709174182,lick
3208.909253678,lick
